image_path,target_value
datasets\images\101718正.jpg,3.245
datasets\images\100520正.jpg,4.983
datasets\images\101600正.jpg,7.014
datasets\images\101684正.jpg,7.318
datasets\images\100405正.jpg,2.476
datasets\images\100362正.jpg,5.073
datasets\images\100412正.jpg,4.666
datasets\images\100397正.jpg,4.124
datasets\images\100425正.jpg,4.706
datasets\images\101615正.jpg,5.074
datasets\images\101717正.jpg,5.272
datasets\images\101623正.jpg,4.541
datasets\images\100443正.jpg,5.532
datasets\images\101597正.jpg,6.312
datasets\images\101673正.jpg,6.416
datasets\images\100559正.jpg,4.518
datasets\images\100424正.jpg,4.472
datasets\images\101674正.jpg,6.149
datasets\images\100570正.jpg,3.805
datasets\images\101603正.jpg,3.981
datasets\images\100393正.jpg,3.114
datasets\images\101620正.jpg,6.355
datasets\images\101587正.jpg,6.892
datasets\images\101610正.jpg,5.421
datasets\images\100343正.jpg,3.973
datasets\images\100560正.jpg,3.777
datasets\images\100432正.jpg,6.246
datasets\images\101606正.jpg,5.164
datasets\images\101589正.jpg,1.027
datasets\images\100598正.jpg,1.565
datasets\images\100587正.jpg,2.875
datasets\images\101621正.jpg,6.635
datasets\images\100413正.jpg,5.053
datasets\images\101598正.jpg,7.042
datasets\images\100513正.jpg,2.278
datasets\images\100380正.jpg,5.1
datasets\images\101618正.jpg,5.94
datasets\images\101588正.jpg,7.723
datasets\images\100409正.jpg,3.784
datasets\images\100360正.jpg,4.118
datasets\images\101728正.jpg,5.945
datasets\images\101670正.jpg,3.605
datasets\images\100349正.jpg,5.268
datasets\images\100395正.jpg,3.983
datasets\images\101709正.jpg,6.262
datasets\images\101722正.jpg,4.902
datasets\images\101624正.jpg,5.333
datasets\images\100346正.jpg,4.971
datasets\images\100406正.jpg,2.825
datasets\images\101595正.jpg,5.392
datasets\images\101632正.jpg,4.86
datasets\images\101721正.jpg,6.724
datasets\images\101631正.jpg,7.325
datasets\images\101590正.jpg,2.274
datasets\images\100359正.jpg,4.249
datasets\images\100514正.jpg,1.712
datasets\images\101602正.jpg,2.684
datasets\images\101633正.jpg,5.193
datasets\images\101679正.jpg,3.385
datasets\images\100330正.jpg,4.522
datasets\images\101706正.jpg,3.274
datasets\images\101641正.jpg,7.075
datasets\images\100543正.jpg,4.759
datasets\images\101661正.jpg,3.414
datasets\images\100518正.jpg,4.276
datasets\images\100429正.jpg,5.565
datasets\images\101617正.jpg,6.009
datasets\images\100422正.jpg,3.665
datasets\images\101601正.jpg,1.601
datasets\images\100382正.jpg,6.12
datasets\images\101639正.jpg,6.533
datasets\images\101635正.jpg,5.519
datasets\images\100573正.jpg,3.094
datasets\images\100421正.jpg,3.509
datasets\images\101682正.jpg,5.995
datasets\images\100437正.jpg,3.869
datasets\images\100608正.jpg,1.771
datasets\images\101642正.jpg,7.687
datasets\images\100428正.jpg,5.075
datasets\images\101625正.jpg,5.654
datasets\images\100344正.jpg,2.95
datasets\images\101580正.jpg,2.322
datasets\images\100447正.jpg,5.919
datasets\images\101611正.jpg,3.854
datasets\images\101707正.jpg,5.881
datasets\images\101662正.jpg,3.742
datasets\images\101716正.jpg,3.563
datasets\images\100440正.jpg,4.79
datasets\images\100572正.jpg,5.069
datasets\images\100410正.jpg,3.966
datasets\images\100350正.jpg,5.058
datasets\images\101586正.jpg,6.183
datasets\images\100601正.jpg,3.428
datasets\images\100578正.jpg,3.795
datasets\images\101703正.jpg,1.708
datasets\images\101708正.jpg,3.542
datasets\images\100595正.jpg,3.553
datasets\images\100356正.jpg,2.915
datasets\images\100363正.jpg,4.79
datasets\images\100504正.jpg,4.351
datasets\images\101695正.jpg,2.213
datasets\images\101609正.jpg,5.222
datasets\images\100371正.jpg,3.464
datasets\images\101663正.jpg,5.1
