image_path,target_value,feature1,feature2,feature3,feature4
datasets\images\100416正_拼接.jpg,5.58,0.25,0.293333333,0.615384615,0.155555556
datasets\images\100383正_拼接.jpg,5.738,0.25,0.293333333,0.615384615,0.333333333
datasets\images\101698正_拼接.jpg,3.139,0.75,0.377777778,0.6,0.2
datasets\images\101596正_拼接.jpg,6.014,0.75,0.377777778,0.523076923,0.666666667
datasets\images\100399正_拼接.jpg,4.721,0.25,0.293333333,0.615384615,0.066666667
datasets\images\100374正_拼接.jpg,4.732,0.25,0.293333333,0.461538462,0.333333333
datasets\images\101699正_拼接.jpg,4.952,0.75,0.377777778,0.676923077,0.2
datasets\images\101564正_拼接.jpg,1.615,0.75,0.377777778,0.6,0.2
datasets\images\100538正_拼接.jpg,0.931,0.25,0.293333333,0.461538462,0.066666667
datasets\images\100521正_拼接.jpg,5.823,0.25,0.293333333,0.615384615,0.333333333
datasets\images\100347正_拼接.jpg,4.268,0.25,0.293333333,0.538461538,0.155555556
datasets\images\101672正_拼接.jpg,5.187,0.75,0.377777778,0.6,0.511111111
datasets\images\100489正_拼接.jpg,3.449,0.25,0.293333333,0.615384615,0.155555556
datasets\images\101567正_拼接.jpg,4.364,0.75,0.377777778,0.676923077,0.2
datasets\images\101638正_拼接.jpg,7.084,0.75,0.377777778,0.523076923,0.666666667
datasets\images\101718正_拼接.jpg,3.245,0.75,0.377777778,0.523076923,0.511111111
datasets\images\100520正_拼接.jpg,4.983,0.25,0.293333333,0.615384615,0.333333333
datasets\images\101600正_拼接.jpg,7.014,0.75,0.377777778,0.676923077,0.666666667
datasets\images\101684正_拼接.jpg,7.318,0.75,0.377777778,0.676923077,0.666666667
datasets\images\100405正_拼接.jpg,2.476,0.25,0.293333333,0.384615385,0.155555556
datasets\images\100362正_拼接.jpg,5.073,0.25,0.293333333,0.538461538,0.244444444
datasets\images\100412正_拼接.jpg,4.666,0.25,0.293333333,0.538461538,0.155555556
datasets\images\100397正_拼接.jpg,4.124,0.25,0.293333333,0.538461538,0.066666667
datasets\images\100425正_拼接.jpg,4.706,0.25,0.293333333,0.461538462,0.244444444
datasets\images\101615正_拼接.jpg,5.074,0.75,0.377777778,0.446153846,0.355555556
datasets\images\101717正_拼接.jpg,5.272,0.75,0.377777778,0.523076923,0.511111111
datasets\images\101623正_拼接.jpg,4.541,0.75,0.377777778,0.369230769,0.511111111
datasets\images\100443正_拼接.jpg,5.532,0.25,0.293333333,0.538461538,0.333333333
datasets\images\101597正_拼接.jpg,6.312,0.75,0.377777778,0.6,0.666666667
datasets\images\101673正_拼接.jpg,6.416,0.75,0.377777778,0.6,0.511111111
datasets\images\100559正_拼接.jpg,4.518,0.25,0.293333333,0.615384615,0.155555556
datasets\images\100424正_拼接.jpg,4.472,0.25,0.293333333,0.461538462,0.244444444
datasets\images\101674正_拼接.jpg,6.149,0.75,0.377777778,0.676923077,0.511111111
datasets\images\100570正_拼接.jpg,3.805,0.25,0.293333333,0.461538462,0.244444444
datasets\images\101603正_拼接.jpg,3.981,0.75,0.377777778,0.446153846,0.2
datasets\images\100393正_拼接.jpg,3.114,0.25,0.293333333,0.461538462,0.066666667
datasets\images\101620正_拼接.jpg,6.355,0.75,0.377777778,0.676923077,0.355555556
datasets\images\101587正_拼接.jpg,6.892,0.75,0.377777778,0.676923077,0.511111111
datasets\images\101610正_拼接.jpg,5.421,0.75,0.377777778,0.676923077,0.2
datasets\images\100343正_拼接.jpg,3.973,0.25,0.293333333,0.461538462,0.155555556
datasets\images\100560正_拼接.jpg,3.777,0.25,0.293333333,0.615384615,0.155555556
datasets\images\100432正_拼接.jpg,6.246,0.25,0.293333333,0.615384615,0.244444444
datasets\images\101606正_拼接.jpg,5.164,0.75,0.377777778,0.523076923,0.2
datasets\images\101589正_拼接.jpg,1.027,0.75,0.377777778,0.369230769,0.666666667
datasets\images\100598正_拼接.jpg,1.565,0.25,0.293333333,0.461538462,0.066666667
datasets\images\100587正_拼接.jpg,2.875,0.25,0.293333333,0.461538462,0.333333333
datasets\images\101621正_拼接.jpg,6.635,0.75,0.377777778,0.676923077,0.355555556
datasets\images\100413正_拼接.jpg,5.053,0.25,0.293333333,0.538461538,0.155555556
datasets\images\101598正_拼接.jpg,7.042,0.75,0.377777778,0.6,0.666666667
datasets\images\100513正_拼接.jpg,2.278,0.25,0.293333333,0.461538462,0.333333333
datasets\images\100380正_拼接.jpg,5.1,0.25,0.293333333,0.538461538,0.333333333
datasets\images\101618正_拼接.jpg,5.94,0.75,0.377777778,0.6,0.355555556
datasets\images\101588正_拼接.jpg,7.723,0.75,0.377777778,0.676923077,0.511111111
datasets\images\100409正_拼接.jpg,3.784,0.25,0.293333333,0.461538462,0.155555556
datasets\images\100360正_拼接.jpg,4.118,0.25,0.293333333,0.461538462,0.244444444
datasets\images\101728正_拼接.jpg,5.945,0.75,0.377777778,0.523076923,0.666666667
datasets\images\101670正_拼接.jpg,3.605,0.75,0.377777778,0.523076923,0.511111111
datasets\images\100349正_拼接.jpg,5.268,0.25,0.293333333,0.615384615,0.155555556
datasets\images\100395正_拼接.jpg,3.983,0.25,0.293333333,0.538461538,0.066666667
datasets\images\101709正_拼接.jpg,6.262,0.75,0.377777778,0.676923077,0.355555556
datasets\images\101722正_拼接.jpg,4.902,0.75,0.377777778,0.676923077,0.511111111
datasets\images\101624正_拼接.jpg,5.333,0.75,0.377777778,0.446153846,0.511111111
datasets\images\100346正_拼接.jpg,4.971,0.25,0.293333333,0.538461538,0.155555556
datasets\images\100406正_拼接.jpg,2.825,0.25,0.293333333,0.384615385,0.155555556
datasets\images\101595正_拼接.jpg,5.392,0.75,0.377777778,0.523076923,0.666666667
datasets\images\101632正_拼接.jpg,4.86,0.75,0.377777778,0.369230769,0.666666667
datasets\images\101721正_拼接.jpg,6.724,0.75,0.377777778,0.676923077,0.511111111
datasets\images\101631正_拼接.jpg,7.325,0.75,0.377777778,0.676923077,0.511111111
datasets\images\101590正_拼接.jpg,2.274,0.75,0.377777778,0.369230769,0.666666667
datasets\images\100359正_拼接.jpg,4.249,0.25,0.293333333,0.461538462,0.244444444
datasets\images\100514正_拼接.jpg,1.712,0.25,0.293333333,0.461538462,0.333333333
datasets\images\101602正_拼接.jpg,2.684,0.75,0.377777778,0.369230769,0.2
datasets\images\101633正_拼接.jpg,5.193,0.75,0.377777778,0.369230769,0.666666667
datasets\images\101679正_拼接.jpg,3.385,0.75,0.377777778,0.446153846,0.666666667
datasets\images\100330正_拼接.jpg,4.522,0.25,0.293333333,0.615384615,0.066666667
datasets\images\101706正_拼接.jpg,3.274,0.75,0.377777778,0.523076923,0.355555556
datasets\images\101641正_拼接.jpg,7.075,0.75,0.377777778,0.676923077,0.666666667
datasets\images\100543正_拼接.jpg,4.759,0.25,0.293333333,0.615384615,0.066666667
datasets\images\101661正_拼接.jpg,3.414,0.75,0.377777778,0.6,0.355555556
datasets\images\100518正_拼接.jpg,4.276,0.25,0.293333333,0.538461538,0.333333333
datasets\images\100429正_拼接.jpg,5.565,0.25,0.293333333,0.538461538,0.244444444
datasets\images\101617正_拼接.jpg,6.009,0.75,0.377777778,0.523076923,0.355555556
datasets\images\100422正_拼接.jpg,3.665,0.25,0.293333333,0.384615385,0.244444444
datasets\images\101601正_拼接.jpg,1.601,0.75,0.377777778,0.369230769,0.2
datasets\images\100382正_拼接.jpg,6.12,0.25,0.293333333,0.615384615,0.333333333
datasets\images\101639正_拼接.jpg,6.533,0.75,0.377777778,0.6,0.666666667
datasets\images\101635正_拼接.jpg,5.519,0.75,0.377777778,0.446153846,0.666666667
datasets\images\100573正_拼接.jpg,3.094,0.25,0.293333333,0.538461538,0.244444444
datasets\images\100421正_拼接.jpg,3.509,0.25,0.293333333,0.384615385,0.244444444
datasets\images\101682正_拼接.jpg,5.995,0.75,0.377777778,0.6,0.666666667
datasets\images\100437正_拼接.jpg,3.869,0.25,0.293333333,0.384615385,0.333333333
datasets\images\100608正_拼接.jpg,1.771,0.25,0.293333333,0.384615385,0.155555556
datasets\images\101642正_拼接.jpg,7.687,0.75,0.377777778,0.676923077,0.666666667
datasets\images\100428正_拼接.jpg,5.075,0.25,0.293333333,0.538461538,0.244444444
datasets\images\101625正_拼接.jpg,5.654,0.75,0.377777778,0.446153846,0.511111111
datasets\images\100344正_拼接.jpg,2.95,0.25,0.293333333,0.461538462,0.155555556
datasets\images\101580正_拼接.jpg,2.322,0.75,0.377777778,0.446153846,0.511111111
datasets\images\100447正_拼接.jpg,5.919,0.25,0.293333333,0.615384615,0.333333333
datasets\images\101611正_拼接.jpg,3.854,0.75,0.377777778,0.369230769,0.355555556
datasets\images\101707正_拼接.jpg,5.881,0.75,0.377777778,0.6,0.355555556
datasets\images\101662正_拼接.jpg,3.742,0.75,0.377777778,0.6,0.355555556
datasets\images\101716正_拼接.jpg,3.563,0.75,0.377777778,0.446153846,0.511111111
datasets\images\100440正_拼接.jpg,4.79,0.25,0.293333333,0.461538462,0.333333333
datasets\images\100572正_拼接.jpg,5.069,0.25,0.293333333,0.538461538,0.244444444
datasets\images\100410正_拼接.jpg,3.966,0.25,0.293333333,0.461538462,0.155555556
datasets\images\100350正_拼接.jpg,5.058,0.25,0.293333333,0.615384615,0.155555556
datasets\images\101586正_拼接.jpg,6.183,0.75,0.377777778,0.6,0.511111111
datasets\images\100601正_拼接.jpg,3.428,0.25,0.293333333,0.538461538,0.066666667
datasets\images\100578正_拼接.jpg,3.795,0.25,0.293333333,0.615384615,0.244444444
datasets\images\101703正_拼接.jpg,1.708,0.75,0.377777778,0.446153846,0.355555556
datasets\images\101708正_拼接.jpg,3.542,0.75,0.377777778,0.6,0.355555556
datasets\images\100595正_拼接.jpg,3.553,0.25,0.293333333,0.615384615,0.333333333
datasets\images\100356正_拼接.jpg,2.915,0.25,0.293333333,0.384615385,0.244444444
datasets\images\100363正_拼接.jpg,4.79,0.25,0.293333333,0.538461538,0.244444444
datasets\images\100504正_拼接.jpg,4.351,0.25,0.293333333,0.615384615,0.244444444
datasets\images\101695正_拼接.jpg,2.213,0.75,0.377777778,0.523076923,0.2
datasets\images\101609正_拼接.jpg,5.222,0.75,0.377777778,0.676923077,0.2
datasets\images\100371正_拼接.jpg,3.464,0.25,0.293333333,0.384615385,0.333333333
datasets\images\101663正_拼接.jpg,5.1,0.75,0.377777778,0.676923077,0.355555556
datasets\images\101731正_拼接.jpg,13.476,0.75,0.377777778,0.6,0.666666667
datasets\images\101671正_拼接.jpg,14.476,0.75,0.377777778,0.523076923,0.511111111
datasets\images\100502正_拼接.jpg,15.476,0.25,0.293333333,0.538461538,0.244444444
datasets\images\100438正_拼接.jpg,16.476,0.25,0.293333333,0.384615385,0.333333333
datasets\images\100594正_拼接.jpg,17.476,0.25,0.293333333,0.615384615,0.333333333
datasets\images\100379正_拼接.jpg,18.476,0.25,0.293333333,0.538461538,0.333333333
datasets\images\100501正_拼接.jpg,19.476,0.25,0.293333333,0.538461538,0.244444444
datasets\images\101640正_拼接.jpg,20.476,0.75,0.377777778,0.6,0.666666667
datasets\images\101726正_拼接.jpg,21.476,0.75,0.377777778,0.446153846,0.666666667
datasets\images\101607正_拼接.jpg,22.476,0.75,0.377777778,0.6,0.2
datasets\images\100415正_拼接.jpg,23.476,0.25,0.293333333,0.615384615,0.155555556
datasets\images\101637正_拼接.jpg,24.476,0.75,0.377777778,0.523076923,0.666666667
datasets\images\101719正_拼接.jpg,25.476,0.75,0.377777778,0.6,0.511111111
datasets\images\100331正_拼接.jpg,26.476,0.25,0.293333333,0.615384615,0.066666667
datasets\images\100444正_拼接.jpg,27.476,0.25,0.293333333,0.538461538,0.333333333
datasets\images\101628正_拼接.jpg,28.476,0.75,0.377777778,0.6,0.511111111
datasets\images\101608正_拼接.jpg,29.476,0.75,0.377777778,0.6,0.2
datasets\images\101630正_拼接.jpg,30.476,0.75,0.377777778,0.676923077,0.511111111
datasets\images\101576正_拼接.jpg,31.476,0.75,0.377777778,0.676923077,0.355555556
datasets\images\101572正_拼接.jpg,32.476,0.75,0.377777778,0.523076923,0.355555556
datasets\images\101594正_拼接.jpg,33.476,0.75,0.377777778,0.446153846,0.666666667
datasets\images\100592正_拼接.jpg,34.476,0.25,0.293333333,0.538461538,0.333333333
datasets\images\100556正_拼接.jpg,35.476,0.25,0.293333333,0.538461538,0.155555556
datasets\images\101599正_拼接.jpg,36.476,0.75,0.377777778,0.676923077,0.666666667
datasets\images\101734正_拼接.jpg,37.476,0.75,0.377777778,0.676923077,0.666666667
datasets\images\100377正_拼接.jpg,38.476,0.25,0.293333333,0.461538462,0.333333333
datasets\images\101704正_拼接.jpg,39.476,0.75,0.377777778,0.446153846,0.355555556
datasets\images\100544正_拼接.jpg,40.476,0.25,0.293333333,0.615384615,0.066666667
datasets\images\101581正_拼接.jpg,41.476,0.75,0.377777778,0.446153846,0.511111111
datasets\images\100365正_拼接.jpg,42.476,0.25,0.293333333,0.615384615,0.244444444
datasets\images\100602正_拼接.jpg,43.476,0.25,0.293333333,0.538461538,0.066666667
datasets\images\101683正_拼接.jpg,44.476,0.75,0.377777778,0.6,0.666666667
datasets\images\101575正_拼接.jpg,45.476,0.75,0.377777778,0.6,0.355555556

